date_bjt,source_series,gpu_count,composite_index,change_7d_pct,change_30d_pct,change_90d_pct
2026-09-11,runpod_community_reference,3,100.0,,,
2026-09-12,runpod_community_reference,3,100.0,,,
2026-09-13,runpod_community_reference,3,100.0,,,
2026-09-14,runpod_community_reference,3,100.0,,,
2026-09-15,runpod_community_reference,3,100.0,,,
2026-09-16,runpod_community_reference,3,100.0,,,
2026-09-17,runpod_community_reference,3,100.0,,,
2026-09-18,runpod_community_reference,3,100.0,0.0,,
2026-09-18,vast_verified_ondemand_median,3,100.0,,,
2026-09-19,vast_verified_ondemand_median,3,91.0277,,,
